Size,Type,Time_sec
100,Sequential,8e-06
100,Sequential,7e-06
100,Sequential,8e-06
100,Sequential,7e-06
100,Sequential,7e-06
100,Parallel,0.011256
100,Parallel,0.010341
100,Parallel,0.010139
100,Parallel,0.009433
100,Parallel,0.01133
100,Libc,8e-06
100,Libc,7e-06
100,Libc,8e-06
100,Libc,7e-06
100,Libc,8e-06
1000,Sequential,0.000106
1000,Sequential,0.000102
1000,Sequential,0.000101
1000,Sequential,0.0001
1000,Sequential,0.000101
1000,Parallel,0.025936
1000,Parallel,0.036318
1000,Parallel,0.032652
1000,Parallel,0.035442
1000,Parallel,0.034602
1000,Libc,0.000102
1000,Libc,0.000143
1000,Libc,0.000103
1000,Libc,0.000102
1000,Libc,0.000101
10000,Sequential,0.001309
10000,Sequential,0.001255
10000,Sequential,0.001221
10000,Sequential,0.001222
10000,Sequential,0.001218
10000,Parallel,0.076837
10000,Parallel,0.070111
10000,Parallel,0.06961
10000,Parallel,0.07326
10000,Parallel,0.076423
10000,Libc,0.001272
10000,Libc,0.001271
10000,Libc,0.001191
10000,Libc,0.001241
10000,Libc,0.001221
100000,Sequential,0.016216
100000,Sequential,0.014789
100000,Sequential,0.015355
100000,Sequential,0.015719
100000,Sequential,0.015547
100000,Parallel,0.116235
100000,Parallel,0.095378
100000,Parallel,0.095379
100000,Parallel,0.087295
100000,Parallel,0.096092
100000,Libc,0.015198
100000,Libc,0.015366
100000,Libc,0.014928
100000,Libc,0.015092
100000,Libc,0.015186
1000000,Sequential,0.188305
1000000,Sequential,0.190252
1000000,Sequential,0.196089
1000000,Sequential,0.1865
1000000,Sequential,0.185578
1000000,Parallel,0.182537
1000000,Parallel,0.19579
1000000,Parallel,0.200141
1000000,Parallel,0.183687
1000000,Parallel,0.190601
1000000,Libc,0.18133
1000000,Libc,0.188011
1000000,Libc,0.183401
1000000,Libc,0.181818
1000000,Libc,0.179393
